Split,Time,Moving Time,Distance,Elevation Gain,Elevation Loss,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories,
 1,3:00.0,2:57,0.23,--,--,12:48,12:35,8:08,112,128,13,
 2,1:00.0,:55,0.05,--,10,19:59,18:19,12:56,118,128,6,
 3,3:00.0,2:58,0.25,--,--,12:02,11:54,9:57,127,137,19,
 4,1:00.0,:56,0.05,--,--,18:20,17:07,12:02,128,137,7,
 5,3:00.0,3:00,0.24,--,--,12:16,12:16,8:30,129,139,19,
 6,1:00.0,:54,0.06,--,--,16:11,14:34,11:52,133,144,6,
 7,3:00.0,2:56,0.24,--,--,12:23,12:06,10:41,125,138,12,
 8,1:00.0,1:00,0.05,10,--,18:29,18:29,11:57,136,145,6,
 9,3:00.0,2:58,0.25,--,13,12:05,11:57,10:16,139,146,22,
 10,1:00.0,1:00,0.06,--,--,17:56,17:55,12:12,131,140,8,
 11,3:00.0,2:58,0.24,12,--,12:30,12:21,10:31,158,167,20,
 12,1:00.0,:56,0.06,--,--,15:59,14:54,10:58,152,166,7,
 13,3:00.0,2:58,0.26,--,--,11:43,11:35,10:34,172,183,21,
 14,1:00.0,:53,0.07,--,8,15:03,13:17,12:33,154,180,6,
 15,3:00.0,2:57,0.26,--,--,11:36,11:25,9:55,154,174,13,
 16,1:00.0,:52,0.05,--,4,18:45,16:15,11:46,150,174,4,
 17,3:00.0,3:00,0.24,--,--,12:26,12:26,11:05,156,165,13,
 18,1:00.0,:58,0.05,--,--,18:22,17:44,12:01,153,164,4,
 19,3:00.0,2:55,0.26,8,--,11:44,11:25,9:44,160,173,13,
 20,1:00.0,:59,0.06,--,--,17:17,16:59,11:11,145,159,4,
 21,3:00.0,2:56,0.25,--,--,11:50,11:34,10:45,157,177,12,
 22,1:00.0,:57,0.05,--,--,18:24,17:28,10:52,146,159,5,
 23,3:00.0,2:57,0.25,11,--,11:49,11:37,10:11,156,168,20,
 24,1:00.0,:54,0.05,--,--,19:59,17:59,10:26,149,160,6,
 25,3:00.0,3:00,0.26,--,8,11:35,11:35,9:53,153,162,24,
 26,1:00.0,:59,0.05,--,--,18:14,17:56,11:10,145,151,7,
 27,3:00.0,2:54,0.25,--,--,11:59,11:35,10:29,148,152,23,
 28,1:00.0,:58,0.05,6,--,18:34,17:56,11:56,145,152,7,
 29,3:00.0,2:57,0.25,--,--,12:15,12:02,11:03,145,151,22,
 30,1:00.0,:55,0.05,--,14,19:29,17:51,11:37,143,150,7,
 31,3:00.0,2:57,0.24,--,--,12:28,12:16,11:10,145,150,21,
 32,1:00.0,:53,0.06,--,--,17:09,15:09,11:38,143,150,7,
 33,3:00.0,2:56,0.23,--,--,12:53,12:36,11:15,143,148,20,
 34,1:00.0,:55,0.05,--,--,20:09,18:28,14:43,142,148,6,
 35,3:00.0,2:54,0.24,--,--,12:23,11:58,11:25,145,151,20,
 36,1:00.0,:53,0.06,--,--,17:44,15:40,13:01,142,150,7,
 37,3:00.0,2:59,0.24,6,--,12:19,12:14,11:16,144,149,20,
 38,1:00.0,:59,0.05,--,--,18:52,18:33,11:25,142,150,6,
 39,3:00.0,2:58,0.24,--,--,12:32,12:24,10:52,143,149,20,
 40,1:00.0,:56,0.05,--,--,18:30,17:16,12:14,141,148,6,
 41,3:00.0,2:52,0.23,--,--,12:56,12:21,11:32,141,148,16,
 42,1:00.0,:55,0.05,--,--,21:31,19:42,15:04,139,147,6,
 43,3:00.0,2:55,0.21,--,--,14:09,13:45,11:47,139,145,16,
 44,1:00.0,:53,0.05,--,--,20:46,18:20,14:33,136,143,5,
 45,3:00.0,2:58,0.22,10,--,13:41,13:32,11:20,138,146,15,
 46,1:00.0,:55,0.06,--,--,17:07,15:41,12:11,139,146,5,
 47,3:00.0,2:57,0.24,--,--,12:41,12:28,10:51,142,149,17,
 48,1:00.0,:58,0.05,--,--,20:03,19:22,12:47,139,148,5,
 49,3:00.0,2:55,0.23,--,--,12:54,12:33,10:25,142,148,16,
 50,1:00.0,1:00,0.05,--,--,19:09,19:09,12:36,139,148,5,
 51,3:00.0,2:58,0.23,--,--,13:16,13:06,11:32,143,149,18,
 52,1:00.0,:57,0.06,--,--,18:06,17:12,13:44,139,149,5,
 53,3:00.0,2:55,0.24,13,10,12:45,12:23,11:02,143,151,18,
 54,:37.4,:32,0.05,--,--,11:31,9:51,10:50,152,153,4,
 Summary,1:47:37.4,1:44:27.0,8.00,83,79,13:27,13:04,8:08,143,183,640,